item,aliases,category,material,disposal_action,why,sustainability_tip,special_handling,confidence_note,source,source_url
"Aluminum can","aluminium can;soft drink can;beverage can","Recyclable/Dry Waste","Aluminum","Empty and place in the appropriate recyclable-waste collection channel","Aluminum is a recyclable material when collected through suitable systems","Recycle aluminum to conserve material resources","Keep reasonably clean and dry","Local recyclers may have acceptance requirements","CPCB Solid Waste Management Rules guidance","https://cpcb.nic.in/uploads/MSW/Salient_features_SWM_Rules.pdf"
"Steel can","tin can;metal can;food can","Recyclable/Dry Waste","Steel/Metal","Empty and place in the appropriate recyclable-waste collection channel","Metal cans can generally be recovered through recycling systems","Recycle metal instead of discarding it with wet waste","Remove food residue where practical","Local recyclers may have acceptance requirements","CPCB Solid Waste Management Rules guidance","https://cpcb.nic.in/uploads/MSW/Salient_features_SWM_Rules.pdf"
"Old mobile phone","smartphone;cell phone;mobile","e-Waste","Electronic components","Use an authorized or registered e-waste collection or recycling channel applicable to the local area","Electronic devices require specialized handling and appropriate e-waste channels","Repair, reuse or refurbish functioning devices where practical","May contain a battery; do not mix with ordinary waste","Local requirements and collection options may differ","E-Waste Management Rules 2022","https://moef.gov.in/uploads/2022/11/E-Waste-Management-Rules-2022.pdf"
"Phone charger","mobile charger;USB charger;charging adapter","e-Waste","Electrical/electronic components","Use an appropriate authorized or registered e-waste collection or recycling channel","Electrical accessories are electronic waste when discarded","Reuse working chargers with compatible equipment where appropriate","Do not mix discarded electronic equipment with wet waste","Local e-waste collection options may differ","E-Waste Management Rules 2022","https://moef.gov.in/uploads/2022/11/E-Waste-Management-Rules-2022.pdf"
"Computer","desktop computer;PC;personal computer","e-Waste","Electronic equipment","Use an authorized or registered e-waste collection or recycling channel","Computers are electrical and electronic equipment requiring appropriate e-waste management","Repair, upgrade, reuse or refurbish where practical","Protect personal data before handing over the device","Use authorized or registered channels; local options differ","E-Waste Management Rules 2022","https://moef.gov.in/uploads/2022/11/E-Waste-Management-Rules-2022.pdf"
"Keyboard","computer keyboard;USB keyboard","e-Waste","Electronic components","Use an appropriate authorized or registered e-waste collection or recycling channel","Discarded electronic accessories are handled as e-waste","Reuse working accessories where practical","Keep separate from wet waste","Local e-waste collection options may differ","E-Waste Management Rules 2022","https://moef.gov.in/uploads/2022/11/E-Waste-Management-Rules-2022.pdf"
"Mouse","computer mouse;USB mouse","e-Waste","Electronic components","Use an appropriate authorized or registered e-waste collection or recycling channel","Discarded electronic accessories require appropriate e-waste handling","Reuse working accessories where practical","Keep separate from wet waste","Local e-waste collection options may differ","E-Waste Management Rules 2022","https://moef.gov.in/uploads/2022/11/E-Waste-Management-Rules-2022.pdf"
"Earphones","headphones;wired earphones;earbuds","e-Waste","Electronic components","Use an appropriate authorized or registered e-waste collection or recycling channel","Electronic accessories can enter e-waste streams when discarded","Reuse working accessories where practical","Some wireless products may contain batteries","Local e-waste collection options may differ","E-Waste Management Rules 2022","https://moef.gov.in/uploads/2022/11/E-Waste-Management-Rules-2022.pdf"
"Battery","used battery;dry cell;household battery","Battery Waste","Battery","Use an appropriate battery collection or recycling channel and do not mix with ordinary household waste","Waste batteries are managed separately under battery-waste rules","Use rechargeable batteries where appropriate and collect spent batteries for proper management","Do not burn, crush or dismantle waste batteries","Follow current local collection and authorized-channel guidance","Battery Waste Management Rules 2022","https://cpcb.nic.in/uploads/hwmd/Battery-WasteManagementRules-2022.pdf"
"Lithium-ion battery","Li-ion battery;phone battery;rechargeable battery","Battery Waste","Lithium-ion battery","Use an appropriate battery collection or recycling channel and follow local authorized collection guidance","Lithium-ion batteries require appropriate waste-battery management","Extend battery life and recycle spent batteries through appropriate channels","Do not crush, puncture, burn or dismantle a waste battery","Follow current local and authorized collection guidance","Battery Waste Management Rules 2022","https://cpcb.nic.in/uploads/hwmd/Battery-WasteManagementRules-2022.pdf"
"Fluorescent bulb","CFL;fluorescent lamp;tube light","Special Handling","Electrical/electronic components","Use an appropriate authorized collection or e-waste channel where supported locally","Some lamps contain hazardous components and require careful handling","Use energy-efficient lighting and dispose of spent lamps through appropriate channels","Avoid breaking the lamp","Local collection requirements may differ","E-Waste Management Rules 2022","https://moef.gov.in/uploads/2022/11/E-Waste-Management-Rules-2022.pdf"
"Used cooking oil","waste cooking oil;leftover frying oil","Special Handling","Used cooking oil","Keep used cooking oil separate and follow the appropriate local collection or disposal guidance","Pouring waste oil into drains can cause environmental and plumbing problems","Reduce food waste and reuse cooking oil only when appropriate for food safety","Do not pour used oil into drains","Local collection options may differ","CPCB waste-management guidance","https://cpcb.nic.in/"
"Old clothes","worn clothes;textiles;used clothing","Reusable/Textile Waste","Textile","Donate, reuse, repair or use the appropriate local textile or waste-collection channel","Textiles can often be reused or recovered instead of immediately discarded","Repair and reuse clothing where practical","Keep donated items reasonably clean and dry","Local textile collection options vary","CPCB Solid Waste Management Rules guidance","https://cpcb.nic.in/uploads/MSW/Salient_features_SWM_Rules.pdf"
"Shoes","old shoes;footwear;used footwear","Reusable/Textile Waste","Textile/Rubber/Leather","Donate, reuse or use an appropriate local collection channel where available","Usable footwear can often be reused rather than discarded","Repair and reuse footwear where practical","Separate heavily damaged items according to local guidance","Local collection options vary","CPCB Solid Waste Management Rules guidance","https://cpcb.nic.in/uploads/MSW/Salient_features_SWM_Rules.pdf"
"Wooden furniture","old furniture;wooden chair;wooden table","Bulky Waste","Wood","Reuse, repair or contact the local authority or appropriate collection service for bulky waste","Furniture can often be reused or repaired and should not be mixed with ordinary wet waste","Repair, refurbish or donate usable furniture","Large items may require separate collection","Follow local bulky-waste collection arrangements","CPCB Solid Waste Management Rules guidance","https://cpcb.nic.in/uploads/MSW/Salient_features_SWM_Rules.pdf"
"Metal utensils","steel utensils;aluminum utensils;old cookware","Recyclable/Dry Waste","Metal","Reuse where possible or give to an appropriate metal-recycling collection channel","Metal can generally be recovered through suitable recycling systems","Reuse or repair utensils where practical","Keep separate from wet waste","Local recyclers may have acceptance requirements","CPCB Solid Waste Management Rules guidance","https://cpcb.nic.in/uploads/MSW/Salient_features_SWM_Rules.pdf"
"Ceramic plate","broken plate;ceramic dish;ceramic cup","Special Handling","Ceramic","Reuse intact items where practical and follow local guidance for broken ceramic waste","Ceramic is different from container glass and may not be accepted in glass recycling","Reuse intact ceramics or donate usable items","Handle broken pieces carefully","Do not assume ceramic belongs in glass recycling","CPCB Solid Waste Management Rules guidance","https://cpcb.nic.in/uploads/MSW/Salient_features_SWM_Rules.pdf"
"Electronic accessories","USB cable;computer cable;electronic accessory","e-Waste","Electrical/electronic components","Use an appropriate authorized or registered e-waste collection or recycling channel","Discarded electrical and electronic accessories can enter e-waste management systems","Reuse compatible accessories where practical","Keep separate from wet waste","Local e-waste collection options may differ","E-Waste Management Rules 2022","https://moef.gov.in/uploads/2022/11/E-Waste-Management-Rules-2022.pdf"
